integer,nameOfApplicant,typeOfConstruction,sizeOfConstruction,constructionLocationAddress,termOfTheContract,contractNumber,durationOfTheContract,dateOfTheResolution,contactPointHasEmail,contactPointHasTelephone
22,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Леся Сердюка вул. - Окружна дорога (1),2023-08-31,11,2033-09-01,2018-10-24,null,null
23,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Леся Сердюка вул. - Окружна дорога (3),2023-08-31,11,2033-09-01,2018-10-24,null,null
24,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Академіка Павлова вул. - Семиградська вул.,2023-08-31,11,2033-09-01,2018-10-24,null,null
25,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 1,Леся Сердюка вул. - Окружна дорога (2),2023-08-31,11,2033-09-01,2018-10-24,null,null
26,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на фасаді,1.75 х 0.50 х 1,Дерев'янка вул. 23-А,2024-10-09,null,null,2019-10-09,null,null
27,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Академіка Павлова вул. 39-А,2023-08-31,11,2033-09-01,2018-10-24,null,null
28,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 1,Героїв Праці вул. 30,2023-08-31,11,2033-09-01,2018-11-14,null,null
29,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. - Амурська вул.,2023-08-31,11,2033-09-01,2018-11-14,null,null
30,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. - Пєшкова вул.,2023-08-31,11,2033-09-01,2018-11-14,null,null
31,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. - Тюрінська вул.,2023-08-31,11,2033-09-01,2018-11-14,null,null
32,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. - Конюшенний пров.,2023-08-31,11,2033-09-01,2018-11-14,null,null
33,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 20 - Механічний пров.,2023-08-31,11,2033-09-01,2018-11-14,null,null
34,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. (навпроти буд. № 150),2023-08-31,11,2033-09-01,2018-11-14,null,null
35,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. (навпроти буд. № 88) (1),2023-08-31,11,2033-09-01,2018-11-14,null,null
36,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. (навпроти буд. № 88) (2),2023-08-31,11,2033-09-01,2018-11-14,null,null
37,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 271 (1),2023-08-31,11,2033-09-01,2018-11-14,null,null
38,"Товариство з обмеженою відповідальністю ""Ведінгтехнолоджі""",Дахова конструкція,5.78 х 2.90 х 2,"Науки просп. 62-М (павільйон над пішохідним сходом № 9 підземного підвуличного пішохідного переходу № 2 біля станції метро ""23-го Серпня"")",2025-10-21,null,null,2020-10-21,null,null
39,"Приватне підприємство ""Аксол""",Щит на фасаді,1.50 x 2.00 x 1,Полтавський Шлях вул. 65,2021-12-31,4393,2021-12-31,2018-09-12,null,null
40,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на фасаді,1.22 х 1.82 х 1,Дерев'янка вул. 23-А,2024-10-09,null,null,2019-10-09,null,null
41,"Товариство з обмеженою відповідальністю ""Род-Ник Інвест""",Щит на фасаді,1.10 х 1.60 х 1,Московський просп. 275-Ж,2026-03-31,null,null,2021-03-31,null,null
42,"Товариство з обмеженою відповідальністю ""Род-Ник Інвест""",Щит на фасаді,1.10 х 1.60 х 1,Московський просп. 275-Ж,2026-03-31,null,null,2021-03-31,null,null
43,"Товариство з обмеженою відповідальністю ""Фенікс інвест торг""",Щит на фасаді,13.00 х 2.00 х 1,Науки просп. 43-А,2026-06-23,null,null,2021-06-23,null,null
44,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Морозова вул. 21,2022-06-30,5116,2022-06-30,2019-05-15,null,null
45,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 х 3.00 х 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
46,"Товариство з обмеженою відповідальністю ""Медмаркет рітейл груп""",Щит на фасаді,13.00 х 0.70 х 1,Клочківська вул. 93,2026-06-23,null,null,2021-06-23,null,null
47,"Товариство з обмеженою відповідальністю ""Род-Ник Інвест""",Щит на фасаді,1.50 х 1.20 х 1,Московський просп. 275-Ж,2026-03-31,null,null,2021-03-31,null,null
48,"Товариство з обмеженою відповідальністю ""Род-Ник Інвест""",Щит на існуючій споруді,1.70 х 1.50 х 1,Московський просп. 275-Ж,2026-03-31,null,null,2021-03-31,null,null
49,"Товариство з обмеженою відповідальністю ""ВФ Ритейл""",Щит на фасаді,17.74 х 1.01 х 1,Науки просп. 9,2025-02-25,null,null,2020-02-25,null,null
50,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 1,Героїв Праці вул. 28,2023-08-31,11,2033-09-01,2018-11-14,null,null
51,"Товариство з обмеженою відповідальністю ""Род-Ник Інвест""",Щит на існуючій споруді,1.80 х 1.60 х 1,Московський просп. 275-Ж,2026-03-31,null,null,2021-03-31,null,null
52,"Товариство з обмеженою відповідальністю ""Род-Ник Інвест""",Щит на існуючій споруді,1.80 х 1.60 х 1,Московський просп. 275-Ж,2026-03-31,null,null,2021-03-31,null,null
53,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 271 (2),2023-08-31,11,2033-09-01,2018-11-14,null,null
54,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 271 (3),2023-08-31,11,2033-09-01,2018-11-14,null,null
55,"Товариство з обмеженою відповідальністю ""Аптека № 308""",Щит на фасаді,4.60 х 1.00 х 1,Пушкінська вул. 74,2025-07-22,null,null,2020-07-22,null,null
56,"Товариство з обмеженою відповідальністю ""КІВІ""",Щит стаціонарний,1.20 x 1.80 x 2,Олександрівський просп. 91 - Бекетова вул.,2022-06-30,5001,2022-06-30,2017-08-02,null,null
57,"Товариство з обмеженою відповідальністю ""Юніт Харків""",Щит на фасаді,20.48 х 4.61 х 1,Академіка Павлова вул. 271,2025-08-19,null,null,2020-08-19,null,null
58,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 1,Двадцять Третього Серпня вул. 59 - Космонавтів вул.,2024-06-30,14,2034-07-01,2020-08-19,null,null
59,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 2,Гагаріна просп. 352,2024-06-30,15,2034-07-01,2020-08-19,null,null
60,"Товариство з обмеженою відповідальністю ""Фенікс інвест торг""",Щит на фасаді,5.00 х 2.00 х 1,Науки просп. 43-А,2026-06-23,null,null,2021-06-23,null,null
61,Фізична особа-підприємець Яровий Володимир Вікторович,Щит стаціонарний,1.20 x 1.80 x 2,Олеся Гончара вул. - Мироносицька вул.,2022-06-30,5044,2022-06-30,2018-11-14,null,null
62,"Товариство з обмеженою відповідальністю ""Лізинг фармація""",Кронштейн на фасаді,0.63 х 0.63 х 2,Конституції м-н 20,2021-12-31,4836,2021-12-31,2021-06-09,null,null
63,"Приватне акціонерне товариство ""Страхова компанія ""ПЗУ Україна""",Щит на фасаді,4.00 х 0.60 х 1,Лисаветинська вул. 1,2025-04-22,null,null,2020-04-22,null,null
64,"Товариство з обмеженою відповідальністю ""Енергія-3000""",Щит на огорожі,5.36 х 2.80 х 1,Плеханівська вул. 85/87-А,2025-07-08,null,null,2020-07-08,null,null
65,"Адвокатське бюро ""Фєдосєєв та партнери""",Кронштейн на фасаді,1.05 x 2.01 x 2,Пушкінська вул. 68,2025-12-31,null,null,2021-06-09,null,null
66,"Приватна фірма ""Данко""",Кронштейн на фасаді,0.60 x 1.00 x 2,Московський просп. 55,2025-10-21,null,null,2020-10-21,null,null
67,Фізична особа-підприємець Давидова Яна Валентинівна,Щит на фасаді,18.50 х 0.50 х 1,"Академіка Павлова вул. 158, корп. 2",2025-12-01,null,null,2020-12-01,null,null
68,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,0.40 х 0.60 х 1,Московський просп. 140-А,2022-07-01,null,null,2019-09-18,null,null
69,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,0.40 х 0.60 х 1,Московський просп. 140-А,2022-07-01,null,null,2019-09-18,null,null
70,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,0.62 х 0.67 х 1,Московський просп. 140-А,2022-07-01,null,null,2019-09-18,null,null
71,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 3,Гагаріна просп. - Окружна дорога,2024-06-30,15,2034-07-01,2020-08-19,null,null
72,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 2,Двадцять Третього Серпня вул. - Отакара Яроша вул. 54,2024-06-30,14,2034-07-01,2020-08-19,null,null
73,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,3.20 х 0.70 х 1,Московський просп. 140-А,2022-07-01,null,null,2019-09-18,null,null
74,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на фасаді,1.22 х 1.82 х 1,Дерев'янка вул. 23-А,2024-10-09,null,null,2019-10-09,null,null
75,"Товариство з обмеженою відповідальністю ""Хозсфера""",Щит стаціонарний,1.70 х 6.88 х 2,Салтівське шосе 169,2021-06-30,4133,2021-06-30,2019-12-11,null,null
76,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,7.80 х 1.12 х 1,Сумська вул. 39,2026-06-09,null,null,2021-06-09,null,null
77,"Приватна фірма ""Сас""",Щит стаціонарний,3.30 х 2.30 х 1,Першого Травня м-н - Сумська вул.,2022-06-30,4992,2022-06-30,2020-08-19,null,null
78,"Товариство з обмеженою відповідальністю ""Аптека низьких цін Полтава""",Щит на фасаді,6.60 х 1.20 х 1,Полтавський Шлях вул. - Розторгуївський пров. 2,2024-08-28,null,null,2019-08-28,null,null
79,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 2,Гагаріна просп. - Планерна вул. 53,2024-06-30,15,2034-07-01,2020-08-19,null,null
80,"Товариство з обмеженою відповідальністю Науково-виробниче об'єднання ""Вертікаль""",Щит на фасаді,10.00 х 5.00 х 1,Шевченка вул. 20,2025-10-21,null,null,2020-10-21,null,null
81,"Товариство з обмеженою відповідальністю ""Альфа Діамант""",Прапор,1.00 х 3.00 х 3,Салтівське шосе 41-А,2022-06-30,5131,2022-06-30,2020-10-07,null,null
82,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,3.20 х 0.70 х 1,Московський просп. 140-А,2022-07-01,null,null,2019-09-18,null,null
83,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,9.00 х 0.85 х 1,Московський просп. 140-А,2022-07-01,null,null,2019-09-18,null,null
84,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 2,Гагаріна просп. 213,2024-06-30,15,2034-07-01,2020-08-19,null,null
85,"Товариство з обмеженою відповідальністю ""ВФ Ритейл""",Щит на фасаді,12.13 х 0.85 х 1,Ярослава Мудрого вул. 36,2024-10-30,null,null,2019-10-30,null,null
86,Фізична особа-підприємець Савіна Світлана Павлівна,Щит на фасаді,5.50 х 1.50 х 1,Московський просп. 259,2024-03-27,null,null,2019-03-27,null,null
87,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,3.15 х 2.30 х 1,Героїв Сталінграда просп. 171,2024-01-17,null,null,2019-01-17,null,null
88,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 х 3.00 х 2,Леся Сердюка вул. - Дружби Народів вул.,2023-08-31,11,2033-09-01,2018-10-24,null,null
89,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 х 3.00 х 2,Академіка Павлова вул. 122,2023-08-31,11,2033-09-01,2018-10-24,null,null
90,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 2,Гагаріна просп. - Аерофлотська вул. 2,2024-06-30,15,2034-07-01,2020-08-19,null,null
91,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 х 3.00 х 2,Леся Сердюка вул. (навпроти буд. № 39-А),2023-08-31,11,2033-09-01,2018-10-24,null,null
92,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 х 3.00 х 2,Леся Сердюка вул. 18,2023-08-31,11,2033-09-01,2018-10-24,null,null
93,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 71 (1),2023-08-31,11,2033-09-01,2018-11-14,null,null
94,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 71 (2),2023-08-31,11,2033-09-01,2018-11-14,null,null
95,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 165-В,2023-08-31,11,2033-09-01,2018-11-14,null,null
96,"Товариство з обмеженою відповідальністю ""Хольц рітейл Україна""",Щит на фасаді,18.105 х 2.490 х 1,Гімназійна наб. 22,2024-11-26,null,null,2019-11-26,null,null
97,"Приватне підприємство-фірма ""Бриз""",Щит стаціонарний,4.00 x 3.00 x 1,Бугримової м-н - Гімназійна наб.,2022-06-30,5045,2022-06-30,2019-03-27,null,null
98,"Приватна фірма ""Гамма-55""",Щит на фасаді,10.00 х 1.05 х 1,Московський просп. 124-А,2025-07-22,null,null,2020-07-22,null,null
99,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Академіка Павлова вул. 120/6,2023-08-31,11,2033-09-01,2018-10-24,null,null
100,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Леся Сердюка вул. - Родникова вул.,2023-08-31,11,2033-09-01,2018-10-24,null,null
101,Фізична особа-підприємець Кафарова Олена Олександрівна,Щит на фасаді,4.10 х 0.79 х 1,Полтавський Шлях вул. - Розторгуївський пров. 2,2024-11-13,null,null,2019-11-13,null,null
102,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на фасаді,1.36 х 1.87 х 1,Клочківська вул. 197-Е,2024-10-09,null,null,2019-10-09,null,null
103,Фізична особа-підприємець Ільченко Олександр Анатолійович,Щит на фасаді,1.00 х 1.30 х 1,Сумська вул. 82,2025-11-11,null,null,2020-11-11,null,null
104,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,3.15 х 2.40 х 1,Героїв Сталінграда просп. 171,2024-01-17,null,null,2019-01-17,null,null
105,"Товариство з обмеженою відповідальністю ""ВФ Ритейл""",Щит на фасаді,2.49 х 0.60 х 1,Науки просп. 9,2025-02-25,null,null,2020-02-25,null,null
106,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 103,2023-08-31,11,2033-09-01,2018-11-14,null,null
107,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 132,2023-08-31,11,2033-09-01,2018-11-14,null,null
108,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 149,2023-08-31,11,2033-09-01,2018-11-14,null,null
109,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 307,2023-08-31,11,2033-09-01,2018-11-14,null,null
110,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Зупинковий павільйон,1.20 x 1.80 x 2,Академіка Павлова вул. 317,2023-08-31,11,2033-09-01,2018-11-14,null,null
111,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,3.10 х 2.20 х 2,Академіка Павлова вул. 61,2023-08-31,11,2033-09-01,2018-10-24,null,null
112,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,3.10 х 2.20 х 2,Академіка Павлова вул. 81,2023-08-31,11,2033-09-01,2018-10-24,null,null
113,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,3.10 х 2.20 х 2,Академіка Павлова вул. 85,2023-08-31,11,2033-09-01,2018-10-24,null,null
114,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,3.10 х 2.20 х 2,Академіка Павлова вул. - Білостоцький пров.,2023-08-31,11,2033-09-01,2018-10-24,null,null
115,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,3.10 х 2.20 х 1,Академіка Павлова вул. - Ювілейний просп.,2023-08-31,11,2033-09-01,2018-10-24,null,null
116,Фізична особа-підприємець Кожевніков Сергій Володимирович,Щит на фасаді,4.00 х 0.55 х 1,Молочна вул. 30,2025-12-01,null,null,2020-12-01,null,null
117,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Леся Сердюка вул. (навпроти буд. № 13),2023-08-31,11,2033-09-01,2018-10-24,null,null
118,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Академіка Павлова вул. - Івана Зарудного вул.,2023-08-31,11,2033-09-01,2018-10-24,null,null
119,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,6.50 х 1.00 х 1,Московський просп. 293-А,2026-02-10,null,null,2021-02-10,null,null
120,"Приватна фірма ""Сас""",Щит на фасаді,6.00 х 3.00 х 1,Полтавський Шлях вул. 133-Б,2025-07-22,null,null,2020-07-22,null,null
121,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Леся Сердюка вул. - Бучми вул.,2023-08-31,11,2033-09-01,2018-10-24,null,null
122,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Героїв Праці вул. 37,2023-08-31,11,2033-09-01,2018-11-14,null,null
123,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Академіка Павлова вул. - Загородня вул.,2023-08-31,11,2033-09-01,2018-10-24,null,null
124,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 2,Героїв Праці вул. 7 (1),2023-08-31,11,2033-09-01,2018-11-14,null,null
125,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 x 3.00 x 1,Героїв Праці вул. - Барабашова вул.,2023-08-31,11,2033-09-01,2018-11-14,null,null
126,"Товариство з обмеженою відповідальністю ""Консалтингова фірма ""Дігніті""",Щит на фасаді,4.25 х 1.05 х 1,Сумська вул. 1,2025-04-22,null,null,2020-04-22,null,null
127,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на фасаді,1.75 х 0.50 х 1,Клочківська вул. 197-Е,2024-10-09,null,null,2019-10-09,null,null
128,"Товариство з обмеженою відповідальністю ""Род-Ник Інвест""",Щит на існуючій споруді,0.70 х 0.50 х 1,Гагаріна просп. 316-Ж,2026-01-20,null,null,2021-01-20,null,null
129,"Товариство з обмеженою відповідальністю ""Род-Ник Інвест""",Щит на існуючій споруді,0.70 х 0.50 х 1,Гагаріна просп. 316-Ж,2026-01-20,null,null,2021-01-20,null,null
130,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 1,Озерянська вул. 21-А,2024-06-30,14,2034-07-01,2020-08-19,null,null
131,"Товариство з обмеженою відповідальністю ""Автомобільний дом ""Соллі-плюс""",Щит на фасаді,5.87 х 0.82 х 1,Академіка Павлова вул. 325-Г,2025-09-23,null,null,2020-09-23,null,null
132,"Приватне підприємство ""Фармабене""",Щит на фасаді,6.00 х 3.00 х 1,Героїв Праці вул. 24,2024-12-24,null,null,2019-12-24,null,null
133,"Товариство з обмеженою відповідальністю ""Аптека низьких цін Харків""",Щит на фасаді,5.65 х 1.45 х 1,Стадіонний пр-д 5-А,2026-04-28,null,null,2021-04-28,null,null
134,Фізична особа-підприємець Павлова Катерина Михайлівна,Маркіза,1.96 х 0.24 х 1,Сумська вул. 23,2021-12-31,4368,2021-12-31,2020-12-24,null,null
135,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на фасаді,1.80 х 0.75 х 1,Віринська вул. 1-А (1),2025-08-19,null,null,2020-08-19,null,null
136,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,1.50 х 0.50 х 1,Ювілейний просп. 90-Б,2024-12-24,null,null,2019-12-24,null,null
137,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Зупинковий павільйон,1.20 x 1.80 x 2,"Незалежності просп. 5-А (зуп. ""Держпром"")",2024-06-30,13,2034-07-01,2020-08-19,null,null
138,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на фасаді,17.20 х 0.55 х 1,Роганська вул. 160-А (1),2025-08-19,null,null,2020-08-19,null,null
139,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на фасаді,1.23 х 1.83 х 1,Віринська вул. 1-А (2),2025-08-19,null,null,2020-08-19,null,null
140,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 1,Озерянська вул. - Гиївська вул. 6,2024-06-30,14,2034-07-01,2020-08-19,null,null
141,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на фасаді,1.23 х 1.83 х 1,Віринська вул. 1-А (3),2025-08-19,null,null,2020-08-19,null,null
